Date,Average_Wind_Speed,Average_Temperature,Fog_Ice_Freezing_Fog,Thunder,Smoke_or_Haze
2020-03-15,10.07,36.0,,,
2020-03-16,5.14,35.0,1.0,,1.0
2020-03-17,7.83,41.0,1.0,,1.0
2020-03-18,6.93,42.0,1.0,,
2020-03-19,9.62,45.0,1.0,,1.0
2020-03-20,15.43,48.0,1.0,,
2020-03-21,10.29,31.0,,,
2020-03-22,6.93,31.0,1.0,,
2020-03-23,4.7,36.0,1.0,,1.0
2020-03-24,6.49,40.0,1.0,,1.0
2020-03-25,7.38,43.0,1.0,,1.0
2020-03-26,10.74,48.0,1.0,,
2020-03-27,10.29,42.0,1.0,1.0,1.0
2020-03-28,9.17,49.0,1.0,1.0,
2020-03-29,20.8,51.0,,,
2020-03-30,10.51,45.0,,,
2020-03-31,12.53,40.0,1.0,,
2020-04-01,6.93,43.0,,,
2020-04-02,4.92,46.0,,,
2020-04-03,6.49,55.0,,,
2020-04-04,7.61,48.0,,,
2020-04-05,8.5,42.0,,,
2020-04-06,5.82,47.0,,,
2020-04-07,7.83,63.0,1.0,1.0,
2020-04-08,8.05,61.0,1.0,1.0,1.0
2020-04-09,17.9,46.0,,,
2020-04-10,9.62,40.0,,,
2020-04-11,7.61,50.0,,,
2020-04-12,9.62,56.0,1.0,,
2020-04-13,17.0,45.0,1.0,,
2020-04-14,12.3,35.0,,,
2020-04-15,8.28,33.0,1.0,,
2020-04-16,9.17,37.0,,,
2020-04-17,7.83,38.0,1.0,,1.0
2020-04-18,16.33,44.0,,,
2020-04-19,11.18,53.0,,,
2020-04-20,12.53,48.0,,,
2020-04-21,14.54,47.0,,,
2020-04-22,6.93,46.0,,,
2020-04-23,7.61,50.0,,,1.0
2020-04-24,9.84,45.0,1.0,,1.0
2020-04-25,12.75,44.0,1.0,,
2020-04-26,11.41,49.0,,,
2020-04-27,9.17,53.0,1.0,,
2020-04-28,7.38,61.0,1.0,1.0,
2020-04-29,10.74,56.0,1.0,,
2020-04-30,13.65,47.0,1.0,,
2020-05-01,5.82,52.0,,,
2020-05-02,10.51,65.0,,,
2020-05-03,12.3,67.0,,,
2020-05-04,16.11,48.0,,,
2020-05-05,9.84,45.0,,,
2020-05-06,8.05,49.0,,,
2020-05-07,10.51,56.0,,,
2020-05-08,14.54,44.0,,,
2020-05-09,10.74,42.0,,,
2020-05-10,10.74,50.0,1.0,,
2020-05-11,7.38,43.0,,,
2020-05-12,10.07,50.0,,,
2020-05-13,11.41,53.0,,,
2020-05-14,7.83,61.0,1.0,1.0,
2020-05-15,7.83,68.0,1.0,1.0,
2020-05-16,11.63,60.0,1.0,,
2020-05-17,8.5,59.0,1.0,1.0,
2020-05-18,10.07,61.0,1.0,,1.0
2020-05-19,13.65,54.0,1.0,,
2020-05-20,11.41,59.0,,,
2020-05-21,6.71,62.0,,,
2020-05-22,4.25,63.0,1.0,,1.0
2020-05-23,8.72,66.0,1.0,1.0,
2020-05-24,6.04,74.0,,,
2020-05-25,8.95,78.0,1.0,,1.0
2020-05-26,8.5,79.0,,1.0,
2020-05-27,6.71,80.0,,1.0,1.0
2020-05-28,10.07,75.0,1.0,,1.0
2020-05-29,11.18,67.0,,,
2020-05-30,8.28,63.0,,,
2020-05-31,8.5,59.0,,,
2020-06-01,12.75,63.0,,,
2020-06-02,16.11,77.0,,,
2020-06-03,8.05,79.0,1.0,,
2020-06-04,7.38,78.0,,1.0,
2020-06-05,6.93,79.0,,,
2020-06-06,10.96,74.0,,,
2020-06-07,8.5,66.0,,,
2020-06-08,8.28,75.0,,,
2020-06-09,15.21,79.0,1.0,,
2020-06-10,12.97,76.0,1.0,1.0,
2020-06-11,10.96,68.0,,,
2020-06-12,8.28,70.0,,1.0,
2020-06-13,15.21,58.0,,,
2020-06-14,10.07,60.0,,,
2020-06-15,6.71,63.0,,,
2020-06-16,6.49,69.0,,,
2020-06-17,6.04,76.0,,,
2020-06-18,5.14,78.0,,,
2020-06-19,4.92,81.0,,,
2020-06-20,9.62,82.0,1.0,1.0,
2020-06-21,6.71,76.0,,,
2020-06-22,6.93,77.0,1.0,1.0,
2020-06-23,11.41,70.0,,,
2020-06-24,6.93,70.0,,1.0,
2020-06-25,6.49,74.0,,,
2020-06-26,7.61,75.0,1.0,1.0,
2020-06-27,7.38,78.0,,,
2020-06-28,6.26,78.0,,,
2020-06-29,7.61,81.0,1.0,1.0,
2020-06-30,6.49,79.0,,1.0,
2020-07-01,9.17,81.0,,,
2020-07-02,6.49,80.0,,,
2020-07-03,4.03,81.0,,,
2020-07-04,7.38,81.0,,,1.0
2020-07-05,4.92,82.0,,,
2020-07-06,4.25,85.0,,,1.0
2020-07-07,7.16,87.0,,1.0,
2020-07-08,4.47,81.0,,,
2020-07-09,8.95,84.0,1.0,1.0,
2020-07-10,10.96,79.0,1.0,,
2020-07-11,8.05,78.0,,,
2020-07-12,10.29,76.0,,,
2020-07-13,5.14,74.0,,,
2020-07-14,7.83,76.0,,,
2020-07-15,9.84,80.0,1.0,,
2020-07-16,7.61,73.0,,,
2020-07-17,7.16,78.0,,,
2020-07-18,12.53,83.0,,,
2020-07-19,12.3,81.0,1.0,1.0,1.0
2020-07-20,7.61,78.0,,,
2020-07-21,6.71,77.0,,,
2020-07-22,8.72,78.0,,,
2020-07-23,7.38,74.0,,,
2020-07-24,5.82,75.0,,,
2020-07-25,6.26,80.0,,,
2020-07-26,12.3,86.0,1.0,,
2020-07-27,7.83,81.0,,,
2020-07-28,9.4,78.0,,,
2020-07-29,8.95,81.0,1.0,1.0,
2020-07-30,12.97,77.0,,1.0,
2020-07-31,9.62,74.0,,,
2020-08-01,7.61,74.0,,,
2020-08-02,7.83,75.0,,1.0,
2020-08-03,11.18,68.0,,,
2020-08-04,8.5,66.0,,,1.0
2020-08-05,5.37,67.0,,,1.0
2020-08-06,5.82,73.0,,,
2020-08-07,4.92,74.0,,,1.0
2020-08-08,9.62,78.0,,,
2020-08-09,9.62,82.0,,1.0,
2020-08-10,9.84,79.0,1.0,1.0,
2020-08-11,6.04,75.0,,,
2020-08-12,5.37,76.0,,,
2020-08-13,5.59,78.0,,,
2020-08-14,7.16,79.0,,,
2020-08-15,6.26,79.0,,1.0,1.0
2020-08-16,7.16,75.0,,,
2020-08-17,5.37,77.0,,,
2020-08-18,9.62,75.0,,,
2020-08-19,4.92,72.0,,,
2020-08-20,6.26,74.0,,,
2020-08-21,5.37,77.0,,,
2020-08-22,7.83,78.0,,,
2020-08-23,6.71,80.0,,1.0,
2020-08-24,7.38,83.0,1.0,,
2020-08-25,7.38,83.0,,1.0,
2020-08-26,10.07,84.0,,,
2020-08-27,10.29,85.0,,,
2020-08-28,12.08,85.0,,,
2020-08-29,12.08,80.0,,,
2020-08-30,7.61,72.0,,,
2020-08-31,9.17,74.0,,,
2020-09-01,7.61,73.0,1.0,1.0,
2020-09-02,8.5,75.0,1.0,,
2020-09-03,14.32,77.0,,,
2020-09-04,8.72,69.0,,,
2020-09-05,10.74,73.0,,,1.0
2020-09-06,13.42,69.0,1.0,1.0,
2020-09-07,12.3,76.0,1.0,1.0,
2020-09-08,14.76,63.0,1.0,1.0,1.0
2020-09-09,12.3,62.0,1.0,1.0,
2020-09-10,12.3,60.0,1.0,,
2020-09-11,8.95,62.0,1.0,,1.0
2020-09-12,9.17,67.0,1.0,,1.0
2020-09-13,6.26,68.0,1.0,,
2020-09-14,3.8,66.0,,,
2020-09-15,8.05,68.0,,,1.0
2020-09-16,10.51,71.0,1.0,,1.0
2020-09-17,12.97,68.0,,,
2020-09-18,12.53,59.0,,,
2020-09-19,4.25,54.0,,,1.0
2020-09-20,5.82,60.0,,,
2020-09-21,6.26,64.0,,,1.0
2020-09-22,4.92,66.0,,,1.0
2020-09-23,6.26,69.0,,,
2020-09-24,6.49,68.0,,,1.0
2020-09-25,8.95,71.0,,,1.0
2020-09-26,14.54,70.0,,,
2020-09-27,11.41,72.0,1.0,,
2020-09-28,7.83,57.0,,,
2020-09-29,8.28,53.0,,,
2020-09-30,12.97,58.0,,,
2020-10-01,8.5,53.0,1.0,,
2020-10-02,6.93,49.0,,,
2020-10-03,4.92,50.0,,,
2020-10-04,8.5,49.0,,,
2020-10-05,10.51,49.0,,,
2020-10-06,11.41,60.0,,,
2020-10-07,9.4,67.0,,,
2020-10-08,5.14,59.0,,,
2020-10-09,11.86,63.0,,,
2020-10-10,13.42,70.0,,,
2020-10-11,8.72,61.0,,,
2020-10-12,11.41,62.0,1.0,1.0,
2020-10-13,11.86,57.0,,,
2020-10-14,13.42,60.0,,,
2020-10-15,11.41,58.0,,,
2020-10-16,9.4,45.0,,,1.0
2020-10-17,14.32,49.0,,,
2020-10-18,8.05,53.0,1.0,,
2020-10-19,8.5,42.0,1.0,,
2020-10-20,8.05,43.0,1.0,1.0,1.0
2020-10-21,8.05,51.0,1.0,1.0,
2020-10-22,10.29,55.0,1.0,1.0,1.0
2020-10-23,12.08,61.0,1.0,1.0,
2020-10-24,7.83,41.0,,,
2020-10-25,12.53,42.0,,,
2020-10-26,9.4,38.0,1.0,,
2020-10-27,4.47,36.0,1.0,,
2020-10-28,7.38,39.0,,,
2020-10-29,16.11,45.0,,,
2020-10-30,6.04,37.0,,,
2020-10-31,13.87,41.0,,,
2020-11-01,16.11,45.0,,,
2020-11-02,10.74,37.0,,,
2020-11-03,9.84,50.0,,,
2020-11-04,13.65,61.0,,,1.0
2020-11-05,9.84,63.0,,,1.0
2020-11-06,8.95,61.0,,,
2020-11-07,9.84,63.0,,,
2020-11-08,8.5,63.0,,,
2020-11-09,12.08,69.0,,,
2020-11-10,19.01,71.0,1.0,1.0,
2020-11-11,8.72,43.0,,,
2020-11-12,6.04,43.0,,,
2020-11-13,8.05,41.0,,,
